train_loss,test_clean_acc,test_clean_loss,test_asr,test_asr_loss,epoch
1.4747525278184968,0.9835,1.4797381694149818,0.9965,1.4659428566124788,0
1.474508126915645,0.9804,1.4814307013894343,0.9959,1.4664633873921291,1
1.4742715343483475,0.9824,1.4802146762799306,0.9964,1.4659943740079358,2
1.4741011824943364,0.9825,1.4801874859317852,0.9979,1.4644349236397227,3
1.473828151027785,0.982,1.4799963015659598,0.9949,1.467118652003586,4
1.4736956696012127,0.9829,1.4798038567707037,0.992,1.4709753785163733,5
1.4735490030317164,0.9833,1.4799226203541846,0.9966,1.4652629665508392,6
1.4732461697511328,0.9827,1.4797872676970854,0.9873,1.4755421147984304,7
1.4732413546108742,0.9822,1.4794196027099706,0.9846,1.4784702920609978,8
1.472879438257929,0.9843,1.4787819104589475,0.9833,1.4803632680018237,9
1.4726654898637392,0.9825,1.480073000215421,0.9827,1.4808882193960202,10
1.4726349072161513,0.9834,1.4788139208107238,0.9843,1.4789784774658785,11
1.4724710623084356,0.9816,1.480317979861217,0.9826,1.4800588598676547,12
1.4723194504597548,0.9838,1.478286844150276,0.9662,1.49662578181856,13
1.4722686962786513,0.9836,1.4789980224743011,0.9742,1.4893891310236256,14
1.4720439463536115,0.9838,1.478813667206248,0.9661,1.497707007796901,15
1.4720163569013194,0.9834,1.4787579182606594,0.9405,1.521958187127569,16
1.471804360591018,0.9826,1.4792650915255212,0.9791,1.4847470878795455,17
1.471653399436967,0.984,1.4787312738455025,0.9726,1.4901183350071026,18
1.471644940406783,0.9841,1.4781731549341968,0.9526,1.5103272230002531,19
1.4715470759345015,0.9838,1.478578402737903,0.9609,1.5023314968036239,20
1.4713849228328224,0.9831,1.4782539818696916,0.9722,1.4899799694680864,21
1.4713428879597548,0.9839,1.4780850820480638,0.9584,1.5056597222188475,22
1.4711466384594882,0.985,1.477542753432207,0.9396,1.5236127179139738,23
1.471051246626799,0.9843,1.4779843023628185,0.9422,1.5200679066834177,24
1.4709988006396588,0.9841,1.477623682872505,0.94,1.5235583645522974,25
1.4708352160097948,0.9849,1.4775143307485399,0.9495,1.5141044353983204,26
1.4707788658548775,0.9835,1.478598282595349,0.9406,1.5218375913656441,27
1.470601616637793,0.9829,1.4794405713962142,0.9439,1.5204322148280538,28
1.470447922566298,0.9833,1.478404572055598,0.9333,1.5299166721902835,29
1.4705162455023988,0.9849,1.4774678520336273,0.9531,1.5102708142274504,30
1.4703068519706157,0.9836,1.4787338129274405,0.964,1.4989841728453424,31
1.4702888927988407,0.9838,1.47851503958368,0.9605,1.5027943492695024,32
1.4701549798440832,0.9841,1.477917798765146,0.9154,1.546888785757077,33
1.4700880884361673,0.984,1.4779694437221358,0.9071,1.5576736714429915,34
1.4701473016474547,0.9847,1.477900505065918,0.9227,1.5393393191562337,35
1.4698177898870601,0.9845,1.4779172186638898,0.9466,1.5155690460448052,36
1.469794625158249,0.9846,1.4771726579423163,0.9301,1.5322470133471642,37
1.4697428298657382,0.9852,1.4776534920285462,0.9176,1.5462178568931142,38
1.4696067045492405,0.9834,1.4784497622471706,0.9292,1.5323478302378564,39
1.4694485857542643,0.9846,1.4771398571646137,0.9117,1.5521613480938468,40
1.469457695479078,0.9841,1.478038689133468,0.9296,1.5320239393574417,41
1.4693844272637926,0.9855,1.4775286229552738,0.9047,1.5569229786563072,42
1.4694376540844882,0.9851,1.4769404116709521,0.9043,1.5568462959520377,43
1.4692235755513725,0.9845,1.4776058538704162,0.9221,1.538887244880579,44
1.469150958030717,0.9859,1.4763946966001182,0.8728,1.589695705729685,45
1.4692615761177372,0.9828,1.478733655753409,0.909,1.5529300597063296,46
1.4690741760644324,0.9849,1.4771354076968637,0.8929,1.57048003005374,47
