train_loss,test_clean_acc,test_clean_loss,test_asr,test_asr_loss,epoch
1.4689854213169642,0.9846,1.4767511498396564,0.8801,1.583932740673138,48
1.46887779642524,0.9852,1.4769204930894693,0.8795,1.5825133262925846,49
1.468722280408782,0.984,1.4775588056843751,0.873,1.5891060745640166,50
1.4686866223430837,0.9853,1.477341328456903,0.8792,1.5814784651349305,51
1.4685921414828758,0.9858,1.4762455877984406,0.8327,1.6286039063884954,52
1.4685510175822893,0.985,1.476486737561074,0.8814,1.5806818661416413,53
1.468324055295509,0.9851,1.4766869947409174,0.8329,1.627750225887177,54
1.4684125497651253,0.9846,1.47747032126044,0.9064,1.5569567285525572,55
1.4683874329524254,0.9856,1.4763500614530722,0.8584,1.6037605955342578,56
1.4682925616754399,0.9814,1.4805719563915472,0.8367,1.623094312704293,57
1.4683765012826493,0.9852,1.4766594088001617,0.8715,1.5899071328958887,58
1.468114661763726,0.9851,1.4764884884949703,0.8696,1.5921541839648203,59
1.4681181755147255,0.9861,1.475822639313473,0.8494,1.6118153872763274,60
1.4681019081489872,0.9856,1.476354676447097,0.8363,1.6241731127356267,61
1.4680131534015193,0.9848,1.4769676809857606,0.8682,1.595220820918964,62
1.4679833515874867,0.9852,1.4761796263372822,0.8416,1.6186131603398901,63
1.4678182052905118,0.9849,1.4768721920669459,0.8782,1.584157517761182,64
1.4678064927871801,0.9849,1.4768623250305273,0.8415,1.6189236124609685,65
1.467862322386394,0.9859,1.4761482067168898,0.8334,1.6278059801478295,66
1.4677264573477478,0.9857,1.4762935737136063,0.812,1.6483974676982613,67
1.4676904088652718,0.9853,1.476593607550214,0.8569,1.6039986390217094,68
1.4677751293060368,0.9857,1.4762091499984644,0.8396,1.6221873653922112,69
1.4676557919109807,0.9854,1.4758408350549685,0.8194,1.6400249482719762,70
1.4675718523037713,0.9859,1.4762131127582234,0.8071,1.652868056752879,71
1.4675860374466951,0.9857,1.476527683294503,0.8332,1.6285840136230372,72
1.4675200570112608,0.9858,1.4762059055316221,0.7802,1.6799804723946152,73
1.4675095157582623,0.9851,1.4766076590604842,0.8552,1.605360671213478,74
1.4674936388093016,0.9861,1.4758938900224723,0.8157,1.6438559521535399,75
1.4673106634794777,0.9863,1.4754861532502872,0.8261,1.6339549555140696,76
1.4674203705940165,0.9861,1.4756396173671553,0.8031,1.6563379384909467,77
1.467235182902452,0.9851,1.4764314608968747,0.7408,1.7196079560905506,78
1.467254573602412,0.985,1.4771820359928594,0.7931,1.6668709007797726,79
1.4671671202442031,0.9862,1.4754541869376117,0.7955,1.6626919948371353,80
1.4671412225979477,0.9864,1.4754742080238974,0.7918,1.6671727424973894,81
1.4671841684434968,0.9858,1.4759528219320213,0.7721,1.6866254745774967,82
1.467074331190032,0.9853,1.4758245952569755,0.8094,1.65071184392188,83
1.467039453957889,0.9851,1.4762436850055767,0.8103,1.6507000505544578,84
1.4671416130147255,0.9854,1.476398983578773,0.8137,1.6493255902247823,85
1.4670087411713753,0.9861,1.475810446556966,0.8079,1.651335133868418,86
1.467024357842484,0.9864,1.4755010392255843,0.7837,1.6758948875840303,87
1.4669309180936834,0.9857,1.47614921278255,0.7915,1.6686851735327655,88
1.4670427074310368,0.9857,1.4759221729958893,0.8051,1.6564856866362747,89
1.4669249317030917,0.9856,1.4758096948550765,0.797,1.662067010903814,90
1.4669371647621268,0.9863,1.4751206674393575,0.7861,1.6747613879525738,91
1.4668805543293577,0.9856,1.4762110095115224,0.7883,1.6712418407391592,92
1.4667644704074494,0.9846,1.4770810528165976,0.8257,1.6349880740900709,93
1.4668852393306904,0.9862,1.4755632998837027,0.7694,1.6884572574287464,94
1.4667234766457888,0.9862,1.4754131075682912,0.728,1.7295505355118186,95
1.4666284752298775,0.9848,1.4775135820838297,0.824,1.6366902589797974,96
1.466678969133129,0.9862,1.475840987673231,0.7945,1.6673385261730025,97
1.4666839144123134,0.9866,1.4753746530812257,0.7734,1.6864397988957205,98
1.466590084246735,0.9858,1.4756759739225838,0.7694,1.6885526324533353,99
